Marketin_expense,Production_expense,Multiplex_coverage,Budget,Movie_length,Lead_ Actor_Rating,Lead_Actress_rating,Director_rating,Producer_rating,Critic_rating,Trailer_views,Time_taken,Twitter_hastags,Avg_age_actors,Num_multiplex,3D_available,Genre_Thriller,Genre_Drama,Genre_Comedy
39.7686,71.28,0.462,32291.215,173.5,7.825,8.01,7.935,8.04,7.8,365213,149.8,262.32,29,527,1,0,1,0
35.0052,71.28,0.462,32907.82,167.6,7.655,7.965,7.64,7.94,7.8,414145,164.24,262.496,27,502,1,0,1,0
36.8108,71.28,0.462,31102.445,159.2,7.655,7.835,7.64,7.96,7.8,422375,187.56,262.224,35,516,1,1,0,0
33.4382,71.28,0.462,32291.215,163.8,7.53,7.705,7.645,7.755,6.8,436807,194.64,242.656,59,476,0,0,1,0
39.1154,71.28,0.462,33591.085,162.3,7.75,7.8,7.7,7.845,6.8,406866,173.92,262.368,20,488,1,0,1,0
35.4598,71.28,0.462,36079.725,167.9,7.715,7.825,7.655,7.895,7.8,455480,119.36,302.944,35,544,1,1,0,0
40.049,71.28,0.462,37074.07,160.8,7.735,8.03,7.82,7.935,6.8,466851,180.4,243.36,50,488,0,1,0,0
42.6162,71.28,0.462,31735.715,167.6,7.74,7.91,7.815,8.07,6.8,350102,197.08,242.032,34,586,0,0,1,0
47.0944,71.28,0.462,33729.96,173.5,7.805,7.97,7.76,8.115,6.8,436306,185.8,242.32,23,523,1,0,0,1
47.7598,71.28,0.462,33052.25,155.5,7.995,8.07,7.845,8.105,7.8,299587,175.28,282.112,25,533,0,1,0,0
43.0344,71.28,0.462,31669.055,168.5,8.1,8.165,8.02,8.14,7.8,394967,167.24,302.096,25,571,1,0,0,1
52.2564,71.28,0.462,33863.28,170.4,7.965,8.17,8.065,8.28,6.8,377048,193.4,222.16,40,497,1,0,0,1
21.2834,66.92,0.501,32957.815,141.7,8.155,8.365,8.23,8.53,7.16,475977,189.56,223.024,43,530,1,1,0,0
21.9488,66.92,0.501,32446.755,134.9,8.305,8.36,8.19,8.39,8.16,474433,150,303.2,39,454,0,0,0,1
21.6028,66.92,0.501,32496.75,115,8.01,8.125,7.94,8.055,7.16,482433,162.4,203.36,21,510,1,1,0,0
23.501,66.92,0.501,33141.13,103.7,7.925,8.17,7.98,8.23,7.16,498052,163.68,203.872,21,484,1,1,0,0
20.5526,60.9,0.572,36635.225,95.3,7.175,7.325,7.225,7.475,8.34,553070,138.32,244.928,49,451,1,1,0,0
20.6718,60.9,0.572,39018.32,89.3,7.185,7.345,7.235,7.43,8.34,567784,123.96,305.584,20,428,1,1,0,0
22.5488,68.82,0.552,37607.35,76.4,7.115,7.14,7,7.3,7.42,512492,154.64,264.256,30,495,0,0,0,0
22.83,68.82,0.552,34268.795,80.1,7.035,7.27,7.06,7.19,7.42,526836,162.12,304.048,52,419,0,1,0,0
23.1872,68.82,0.552,34502.105,80,6.98,7.17,7.08,7.33,8.42,473146,121.88,303.952,56,449,1,1,0,0
22.4538,68.82,0.552,33713.295,113.5,7.095,7.245,7.05,7.165,8.42,471960,180.48,243.392,53,400,0,1,0,0
23.4284,68.82,0.552,31563.51,107.3,7.385,7.525,7.395,7.49,8.42,470466,161.72,223.088,21,445,0,1,0,0
23.7672,68.82,0.552,32141.23,106.8,7.375,7.5,7.3,7.625,8.42,445250,186,243.2,39,455,1,0,1,0
24.5854,68.82,0.552,33496.65,159,7.085,7.18,7.125,7.23,7.42,374797,106.64,242.656,44,526,1,1,0,0
25.0774,68.82,0.552,29991.445,168.8,7.01,7.16,7.02,7.07,8.42,264112,141.76,282.304,34,427,0,0,0,1
24.3954,68.82,0.552,31119.11,135.5,6.945,7.05,6.85,6.98,7.42,422013,119.76,263.104,45,507,0,0,0,0
21.7746,66.28,0.561,33124.465,119.2,6.46,6.725,6.5,6.685,7.64,442225,0,223.152,21,404,1,1,0,0
20.8674,66.28,0.561,33968.825,136.5,6.48,6.63,6.46,6.795,8.64,502413,140.2,223.28,30,473,1,0,1,0
21.072,66.28,0.561,36168.605,94.6,6.49,6.62,6.44,6.815,8.64,504792,198,284,56,462,0,1,0,0
20.9962,66.28,0.561,33318.89,94.9,6.555,6.74,6.565,6.51,8.64,496877,183.36,223.744,41,416,0,1,0,0
20.272,63,0.59,32707.84,121.1,6.3,6.365,6.2,6.5,6.78,410055,173.56,303.024,55,387,1,0,0,1
20.2622,57.44,0.597,40268.195,95.4,5.55,5.795,5.605,5.655,8.42,512329,150.16,265.664,50,480,1,1,0,0
20.411,56.48,0.59,35457.565,109.2,5.34,5.535,5.285,5.465,8.54,539589,115.88,303.952,22,383,1,0,1,0
20.2864,57.64,0.589,37862.88,114,5.685,5.86,5.815,5.99,8.98,512129,148.64,305.056,45,426,1,0,1,0
23.089,65.26,0.547,34135.475,102.7,6.01,6.115,5.965,6.28,7.06,480067,150,283.728,22,438,0,0,0,1
22.0656,65.26,0.547,32924.485,120.7,6.37,6.66,6.45,6.66,7.06,467075,123.84,283.136,20,460,1,0,0,1
22.9864,65.26,0.547,31891.255,139.7,6.335,6.42,6.235,6.56,7.06,465689,140,222.992,30,439,0,1,0,0
23.4342,65.26,0.547,33141.13,166.9,6.58,6.665,6.46,6.655,7.06,430178,124.4,302.56,48,387,0,1,0,0
22.2054,65.26,0.547,35863.08,141.3,6.225,6.46,6.285,6.58,7.06,525189,116.88,203.552,56,434,1,0,0,1
22.53,65.26,0.547,37562.91,116.9,5.885,6.155,5.95,6.045,8.06,469499,118,264,28,470,1,0,0,0
20.3902,57.76,0.5839,39462.72,133,5.28,5.455,5.315,5.505,7.28,477265,165.2,205.28,30,390,1,0,0,0
20.7168,61.74,0.602,34940.95,91.3,6.69,6.785,6.575,6.725,8.78,545499,189.4,243.76,20,375,0,1,0,0
20.8758,61.74,0.602,32146.785,104.6,6.65,6.78,6.58,6.77,8.78,465605,179.76,223.104,44,479,0,0,0,0
21.1578,67.14,0.591,32652.29,94.9,6.68,6.8,6.74,6.785,8.22,493569,142.8,263.52,29,406,1,1,0,0
22.7108,67.14,0.591,31074.67,110.3,6.745,6.915,6.73,6.615,8.22,461313,176.96,302.784,40,485,0,1,0,0
22.5632,67.14,0.591,32691.175,106.5,6.725,6.805,6.7,6.77,7.22,499656,166.36,223.344,56,384,0,0,1,0
21.7652,76.62,0.587,35646.435,80.1,7.24,7.465,7.205,7.52,7.16,501152,195.68,283.872,38,410,1,1,0,0
23.1752,76.62,0.587,33113.355,91,7.28,7.4,7.29,7.455,8.16,491978,200.68,263.472,46,400,0,0,0,0
21.8328,76.62,0.587,33691.075,81.3,7.27,7.52,7.195,7.44,7.16,500290,117.12,203.648,20,361,0,1,0,0
23.9078,76.62,0.587,34690.975,79.7,7.32,7.385,7.25,7.47,8.16,493124,119.36,243.744,45,434,1,0,1,0
21.5792,80.66,0.563,34846.515,79.5,7.73,8.025,7.715,8.025,7.26,488560,157.64,203.856,40,389,0,1,0,0
21.9024,80.66,0.563,34918.73,118.5,7.585,7.75,7.585,8.07,8.26,496661,120.56,203.424,28,382,0,0,0,1
22.0306,80.66,0.563,34879.845,148,7.835,8.14,7.87,8.05,8.26,478283,146,243.2,22,453,0,0,0,1
21.7414,80.66,0.563,34107.7,119.3,7.84,7.97,7.87,8.14,7.26,490040,118.32,223.328,57,419,1,1,0,0
21.1292,80.66,0.563,34618.76,127.2,7.33,7.5,7.45,7.69,8.26,447528,176.48,303.392,53,377,1,0,1,0
21.6774,80.66,0.563,32630.07,110.1,7.735,7.885,7.59,7.785,8.26,467670,128.12,303.248,37,472,0,0,0,0
20.8226,64.72,0.574,37368.485,107,7.25,7.36,7.3,7.29,8.2,499995,129.2,284.48,54,374,1,0,1,0
20.8924,64.72,0.574,36768.545,143.9,7.145,7.445,7.145,7.46,7.2,510436,111.56,243.824,49,501,1,0,1,0
20.7318,64.72,0.574,35007.61,105.7,7.235,7.405,7.265,7.29,8.2,492574,121.92,203.968,20,469,0,1,0,0
20.7102,64.72,0.574,34257.685,120.2,7.24,7.41,7.165,7.385,7.2,485743,151.16,203.664,34,405,1,0,1,0
21.0118,63.98,0.551,35490.895,121.5,7.515,7.645,7.505,7.775,7.3,454277,133.56,283.824,23,422,0,0,1,0
21.147,63.98,0.551,36829.65,129.6,7.625,7.925,7.755,7.815,8.3,495454,194.64,244.256,56,521,0,1,0,0
21.0376,63.98,0.551,33413.325,118.6,7.69,7.92,7.755,7.78,7.3,436753,119,223.6,50,472,1,1,0,0
21.4302,63.98,0.551,34002.155,130.3,8.035,8.13,8.08,8.26,8.3,489563,144.88,243.552,43,510,1,0,0,1
21.132,61.82,0.511,38923.885,159.8,8.25,8.455,8.28,8.175,8.44,509357,139.44,203.776,28,456,0,1,0,0
21.0604,61.82,0.511,39323.845,136.6,8.17,8.31,8.135,8.555,8.44,515362,151.48,304.592,31,478,1,0,0,1
20.9368,61.82,0.511,35646.435,139.6,8.43,8.535,8.425,8.425,8.44,503147,147.04,303.616,58,424,1,0,1,0
20.7864,61.82,0.511,35579.775,147.4,8.42,8.525,8.295,8.575,7.44,496193,164.8,263.52,23,451,0,1,0,0
20.8406,85.08,0.536,35785.31,127.1,8.02,8.295,8.015,8.34,8.36,489837,183.16,283.664,60,518,0,0,1,0
20.575,85.08,0.536,34502.105,102.4,8.04,8.225,8.095,8.305,8.36,508101,206,284,46,492,0,0,0,0
20.8588,85.08,0.536,34713.195,150.8,8.095,8.33,8.04,8.305,8.36,468556,114.24,263.296,54,465,0,0,0,0
22.4408,60.78,0.555,36801.875,131.3,8.215,8.385,8.12,8.29,7.4,489220,199.36,284.544,46,467,0,1,0,0
22.3008,60.78,0.555,34235.465,143.1,8.21,8.325,8.23,8.245,8.4,467769,204.56,243.424,21,463,0,1,0,0
22.4166,60.78,0.555,44823.295,149.5,8.15,8.34,8.215,8.305,7.4,543618,125.48,246.192,53,413,1,1,0,0
21.6374,60.78,0.555,43440.1,110.4,8.23,8.29,8.2,8.285,7.4,544945,217.52,207.008,25,512,1,0,0,0
21.372,60.78,0.555,41195.88,136,8.085,8.32,8.165,8.435,8.4,484613,131.28,265.312,31,510,0,1,0,0
22.9732,72.12,0.48,37368.485,153.4,8.45,8.66,8.595,8.74,6.82,471052,193,304.4,24,470,1,0,1,0
22.2864,72.12,0.48,37668.455,144.8,8.425,8.63,8.44,8.79,7.82,491484,144.6,204.24,58,445,1,1,0,0
24.5752,72.12,0.48,35579.775,158.9,8.485,8.725,8.635,8.725,7.82,457364,135.44,262.976,57,544,0,0,0,0
24.2322,72.12,0.48,34091.035,160.9,8.515,8.79,8.56,8.71,7.82,443252,137.72,283.088,36,555,1,0,0,1
22.792,72.12,0.48,34257.685,163.5,8.685,8.875,8.66,8.935,6.82,432081,135,203.216,20,458,1,0,0,1
22.6524,72.12,0.48,32502.305,170.2,8.905,9.025,8.935,8.925,6.82,430817,180,263.12,57,515,1,0,0,1
23.424,72.12,0.48,32418.98,165.4,8.815,8.965,8.76,9.04,6.82,405008,205.8,283.12,20,482,1,0,1,0
22.6234,72.12,0.48,34035.485,158.7,8.825,9.025,8.915,8.99,6.82,442160,120.16,283.264,57,517,1,0,0,0
22.5604,72.12,0.48,35963.07,170.6,8.64,8.91,8.73,8.85,7.82,473768,171.92,203.168,48,502,0,0,0,0
25.2726,72.12,0.48,34602.095,164.7,8.715,8.86,8.56,8.775,6.82,437611,195.76,283.104,41,555,1,0,0,1
22.1586,72.12,0.48,34413.225,127.9,8.475,8.7,8.48,8.79,7.82,423752,138.68,203.472,37,453,1,0,0,1
22.0168,75.02,0.453,37301.825,155.1,8.595,8.685,8.5,8.87,8.44,495560,113.12,263.648,34,544,1,1,0,0
22.4658,75.02,0.453,32846.715,166.4,8.725,8.885,8.72,8.965,7.44,394329,0,303.008,35,577,1,1,0,0
24.4424,75.02,0.453,33841.06,168.9,8.705,8.875,8.725,8.6,8.44,405200,201.48,202.992,59,604,1,1,0,0
22.8462,75.02,0.453,34740.97,157.7,8.73,8.93,8.855,8.975,8.44,446050,133.4,242.96,39,570,0,0,0,0
23.4268,75.02,0.453,32930.04,161.7,8.72,8.795,8.64,8.92,7.44,415458,151.32,222.928,24,539,0,0,0,1
22.6316,75.02,0.453,34307.68,146,8.535,8.645,8.5,8.86,8.44,432696,130.48,263.392,23,528,0,0,0,1
23.0196,75.02,0.453,33446.655,156.1,8.615,8.755,8.54,8.595,7.44,454755,189.68,303.072,28,609,0,0,0,0
22.6116,75.02,0.453,32618.96,146.6,8.6,8.865,8.69,8.89,7.44,410730,160.16,283.264,40,566,1,1,0,0
22.8952,75.02,0.453,31835.705,138.7,8.52,8.74,8.54,8.685,8.44,463019,203.72,223.088,20,530,1,1,0,0
21.3798,106.3,0.419,32607.85,143.2,8.8,8.92,8.735,9.03,7.18,455844,156.8,203.52,23,570,1,1,0,0
21.433,106.3,0.419,33352.22,157.6,8.78,9.02,8.815,8.99,8.18,454602,194.12,203.248,39,568,1,0,0,0
21.8598,106.3,0.419,33113.355,166.4,8.83,9.075,8.865,9.05,8.18,388265,178.2,203.28,51,608,1,0,0,1
23.0076,106.3,0.419,32530.08,170.5,8.89,9.09,8.965,9.165,8.18,334417,182.92,202.768,51,524,1,0,1,0
21.9698,106.3,0.419,32657.845,169.3,8.895,9.13,8.9,9.06,8.18,395312,125.52,263.008,56,622,0,1,0,0
23.3804,106.3,0.419,33252.23,161.9,8.935,9.075,8.855,9.155,7.18,443766,162.56,283.424,22,608,1,0,1,0
27.747,106.3,0.419,31180.215,169.1,9.035,9.24,9.1,9.115,8.18,303828,154.28,202.512,42,635,0,0,1,0
25.183,98.78,0.376,31624.615,169.5,8.955,9.135,9.08,9.255,6.76,391198,118.48,302.592,31,567,1,0,0,1
26.5086,98.78,0.376,35724.205,172.3,9.02,9.195,9.04,9.115,7.76,444896,163.2,282.88,41,564,0,0,0,1
37.625,98.78,0.376,31313.535,168.2,8.85,9.06,8.95,9.175,6.76,406685,157.72,202.288,30,581,1,0,1,0
26.8012,98.78,0.376,35874.19,172.4,8.815,9.035,8.82,9.095,6.76,466796,179.68,263.072,25,663,1,0,0,1
43.8588,98.78,0.376,35140.93,171.2,8.73,8.985,8.79,8.955,6.76,438063,151.84,243.136,29,559,1,0,0,1
31.801,98.78,0.376,35396.46,171.4,8.795,8.92,8.8,8.83,6.76,456491,179.2,243.68,57,550,1,0,0,0
26.5964,98.78,0.376,32341.21,168.9,8.635,8.79,8.735,8.895,7.76,426316,205.36,202.944,58,617,1,0,0,0
39.5234,98.78,0.376,31980.135,171.9,8.825,8.86,8.735,8.885,6.76,402396,180.24,222.496,32,646,0,0,0,0
31.1556,98.78,0.376,35190.925,171.7,8.89,8.965,8.84,9.085,6.76,411162,157.24,222.896,37,663,1,1,0,0
26.4528,98.78,0.376,33007.81,167,8.87,9.08,8.91,9.205,6.76,394365,202.96,202.784,37,622,0,1,0,0
27.0466,98.78,0.376,35851.97,171.9,8.925,9.235,8.915,9.225,7.76,442884,138.84,222.736,40,674,1,0,0,1
24.996,98.78,0.376,32535.635,171.7,9.055,9.295,9.08,9.235,6.76,380380,161.32,282.128,39,593,0,1,0,0
30.8904,98.78,0.376,34168.805,171.4,9.045,9.205,9.16,9.255,7.76,411330,173.12,202.848,29,592,1,0,1,0
25.818,98.78,0.376,34296.57,167.1,9.07,9.23,9.065,9.41,6.76,354960,113.6,202.24,28,570,0,0,1,0
52.5728,98.78,0.376,27880.545,173.5,9.185,9.34,9.145,9.45,7.76,233100,199.76,242.304,43,561,1,0,0,1
86.421,94.16,0.129,30013.665,173.5,9.33,9.48,9.18,9.365,9.06,329378,105.36,262.144,42,807,1,1,0,0
101.948,94.16,0.129,30374.74,173.5,9.18,9.4,9.21,9.385,9.06,308802,146.24,262.496,25,793,1,0,0,1
75.5948,94.16,0.129,27236.165,171.3,9.26,9.46,9.225,9.365,8.06,294970,132.72,261.888,52,795,1,1,0,0
67.5868,94.16,0.129,34052.15,173.5,9.155,9.37,9.14,9.495,8.06,305675,155.52,202.208,59,846,1,1,0,0
63.101,94.16,0.129,31263.54,173.5,9.09,9.255,9.155,9.47,8.06,399297,112.24,202.496,32,760,1,1,0,0
67.3724,94.16,0.129,27363.93,169.2,9.115,9.32,9.17,9.475,9.06,286266,137.84,222.336,24,800,0,0,0,1
66.6198,94.16,0.129,28808.23,167.3,9.21,9.385,9.2,9.14,8.06,309356,197.12,282.848,43,838,0,0,1,0
74.6794,94.16,0.129,31091.335,168.4,9.12,9.39,9.205,9.24,8.06,347105,202.16,302.464,48,759,0,0,0,1
53.132,94.16,0.129,34007.71,170.8,9.175,9.24,9.035,9.315,8.06,428936,110.6,243.44,34,831,0,1,0,0
49.9264,94.16,0.129,30019.22,173.5,9.07,9.27,9.115,9.365,8.06,466687,129.84,223.136,42,754,0,1,0,0
42.5316,94.16,0.129,27841.66,161.5,9.09,9.22,9.05,9.42,9.06,455196,108.12,202.448,46,851,1,0,0,1
62.9836,94.16,0.129,31713.495,172,9.11,9.32,9.05,9.275,8.06,411772,121.76,243.104,58,840,0,0,0,1
48.277,94.16,0.129,34046.595,169.5,9.115,9.265,9.015,9.11,9.06,440004,148.8,302.72,48,806,0,0,0,0
90.7002,94.16,0.129,34174.36,156.1,9.06,9.275,9.04,9.13,9.06,432078,198.24,222.496,37,868,0,1,0,0
68.9336,94.16,0.129,29285.96,167.5,9.005,9.145,9.075,9.305,8.06,426057,127.24,202.096,60,749,0,1,0,0
44.4716,94.16,0.395,38568.365,170.9,9.005,9.12,9.04,9.08,9.06,501350,164.52,266.608,57,549,1,0,0,1
46.8568,94.16,0.395,33696.63,173.5,9.02,9.23,9.05,9.185,8.06,483363,177.72,263.888,46,556,0,1,0,0
48.5004,94.16,0.129,36163.05,173.5,9.08,9.155,9.01,9.22,9.06,475753,143.32,243.728,36,765,1,0,1,0
45.4692,94.16,0.395,34718.75,166.1,9.07,9.24,9.06,9.03,9.06,540041,168.8,244.32,23,519,1,0,1,0
49.2672,94.16,0.395,41601.395,164.3,8.915,9.055,8.935,9.155,8.06,539697,210,228,35,539,1,0,0,1
56.6754,94.16,0.395,43340.11,171.7,8.87,9.12,8.945,8.98,8.06,531084,168,248,22,557,1,0,1,0
50.3804,94.16,0.395,46523.125,167.4,8.87,9.03,8.8,8.975,9.06,561132,160,248,57,603,1,1,0,0
64.8472,94.16,0.395,32518.97,165.3,8.645,8.805,8.755,8.95,9.06,467883,167.08,303.632,56,659,1,0,1,0
78.48,94.16,0.395,33891.055,166.5,8.815,8.86,8.705,9.055,8.06,471586,200,244,22,533,1,1,0,0
60.2038,94.16,0.395,44045.595,169.7,8.945,9.045,8.845,9.07,9.06,517904,166,308,37,522,1,1,0,0
56.0056,94.16,0.395,32646.735,152.7,8.655,8.895,8.71,8.89,8.06,468741,201.52,203.808,22,549,1,0,1,0
66.008,94.16,0.395,35102.045,169.6,8.855,8.98,8.88,9.085,8.06,473988,133.52,223.808,23,663,0,0,0,1
68.9906,94.16,0.395,35563.11,168.7,8.85,8.94,8.835,8.85,8.06,449755,110.92,303.568,22,536,0,0,0,0
44.1484,94.16,0.395,32635.625,168.1,8.65,8.79,8.64,9.07,9.06,438703,158.96,222.784,28,606,0,0,1,0
66.278,94.16,0.395,32663.4,170.8,8.69,8.82,8.725,8.985,8.06,470298,195.64,243.056,54,575,0,1,0,0
22.7828,63.1,0.49,30952.46,162,8.65,8.73,8.635,8.79,7.68,415584,187.24,243.696,38,530,0,1,0,0
21.8356,63.1,0.49,35640.88,157.6,8.57,8.715,8.615,8.805,7.68,467457,197.44,203.776,59,540,1,0,0,1
21.6894,63.1,0.49,32546.745,142.2,8.58,8.65,8.485,8.88,7.68,480435,195.04,303.616,35,530,1,1,0,0
21.3328,63.1,0.49,36363.03,106.6,8.39,8.545,8.395,8.41,7.68,500067,123.76,244.704,48,509,1,0,0,1
21.4044,63.1,0.49,33441.1,120.7,8.125,8.295,8.11,8.36,7.68,491916,171.28,303.712,49,520,1,0,1,0
21.085,63.1,0.49,35079.825,146.9,8.325,8.36,8.295,8.38,8.68,487150,141.84,283.936,31,474,1,0,1,0
21.3284,63.1,0.49,38107.3,147.9,8.405,8.625,8.395,8.75,7.68,513390,117.96,224.784,28,548,0,0,0,1
21.156,59.92,0.512,38773.9,131.9,8.445,8.725,8.58,8.59,8.44,505742,194.88,225.952,50,456,0,0,1,0
21.3176,59.92,0.512,43134.575,156.8,8.51,8.67,8.52,8.82,7.44,515276,169.92,286.368,60,466,1,0,0,0
21.3776,59.92,0.512,34129.92,135.7,8.655,8.805,8.605,8.74,7.44,461876,132.48,305.792,59,561,1,1,0,0
21.8206,59.92,0.512,39746.025,165.7,8.64,8.675,8.54,8.75,7.44,549262,185.16,306.064,56,430,1,1,0,0
22.0016,59.92,0.512,36457.465,169.1,8.48,8.665,8.545,8.62,8.44,493498,147,285.2,60,451,1,0,1,0
21.6616,59.92,0.512,31130.22,163.3,8.47,8.58,8.425,8.545,8.44,440780,198.56,204.224,27,467,1,0,1,0
21.2094,59.92,0.512,34179.915,142.3,8.285,8.475,8.25,8.43,7.44,463628,163.84,224.736,45,466,1,0,1,0
21.1204,59.92,0.512,43501.205,127.1,8.275,8.405,8.245,8.675,8.44,511949,120,268,35,458,1,0,1,0
21.575,61.88,0.563,37674.01,114.6,8.095,8.15,8.065,8.115,7.96,480787,156.8,265.12,23,423,1,1,0,0
22.5158,61.88,0.563,36418.58,102.6,7.69,7.86,7.66,7.655,8.96,537380,151.92,204.768,40,460,1,1,0,0
21.674,61.88,0.563,39912.675,112.4,7.585,7.785,7.66,7.835,8.96,520707,185.96,285.584,20,464,0,1,0,0
21.8136,61.88,0.563,38612.805,95,6.73,6.82,6.645,6.845,8.96,512163,123.2,225.28,55,510,0,0,0,1
21.3822,61.88,0.563,37435.145,104.3,6.645,6.79,6.63,6.975,7.96,507193,176.2,224.88,40,384,0,0,0,1
21.7328,61.88,0.563,39873.79,99.8,6.62,6.83,6.7,6.895,7.96,515199,210.56,225.824,40,448,1,0,1,0
20.4374,60.86,0.599,37774,83.4,6.77,6.935,6.775,7.08,7.88,503965,136.44,264.976,24,412,0,1,0,0
20.2878,60.86,0.599,36685.22,92.3,6.745,6.985,6.77,7.06,8.88,525053,185.64,284.656,59,489,0,1,0,0
20.2762,55.92,0.578,43745.625,105.5,7.095,7.235,7.12,7.25,9.12,546519,164,288,26,430,1,1,0,0
20.8022,58.04,0.596,40479.285,107.6,6.21,6.4,6.245,6.525,8.48,549247,145.32,305.328,20,367,1,0,0,0
20.9332,58.04,0.596,39479.385,110.1,6.18,6.49,6.3,6.41,8.48,511537,138.12,284.848,24,401,1,0,0,0
20.7536,58.04,0.596,40407.07,111.8,6.235,6.39,6.27,6.485,8.48,519868,203.84,285.536,43,412,0,0,1,0
20.63,57.94,0.597,38746.125,88.8,6.015,6.24,6.11,6.33,8.6,536549,159.96,265.584,24,413,1,0,0,1
20.3556,57.94,0.597,39634.925,87.4,6.105,6.185,6.015,6.39,7.6,535003,119.16,205.264,22,465,0,0,1,0
20.689,59.06,0.585,34229.91,111.9,6.8,6.965,6.8,6.89,8.06,501886,155.64,243.856,32,415,1,1,0,0
20.4354,59.06,0.585,42273.55,89.2,6.825,6.955,6.735,6.95,9.06,554735,210.92,286.768,30,459,0,0,0,0
20.702,60.36,0.5839,43623.415,106.7,7.315,7.485,7.35,7.615,9.06,546954,175.4,227.76,22,410,0,0,0,1
20.4018,60.36,0.5839,44628.87,105.4,7.295,7.6,7.36,7.505,8.06,517393,178,308,51,442,1,1,0,0
22.7284,76.18,0.511,32724.505,95.8,7.88,8.19,7.945,8.09,8.28,456271,159.04,303.616,26,563,1,1,0,0
24.5938,76.18,0.511,35140.93,126,7.685,7.88,7.765,7.955,7.28,444948,133.76,223.904,52,511,1,1,0,0
25.0398,76.18,0.511,32124.565,146.2,7.68,7.875,7.7,8.04,8.28,378970,159,203.6,38,519,1,0,0,1
22.7174,76.18,0.511,33685.52,132.6,7.85,8.005,7.725,7.94,7.28,418851,137.76,283.904,31,447,1,0,0,1
28.7142,76.18,0.511,29685.92,173.5,8.025,8.07,7.93,8.225,7.28,367698,158,263.2,60,562,0,0,0,1
23.4892,76.18,0.511,33107.8,165.6,8.045,8.185,8.02,8,8.28,402133,160.68,243.472,36,446,1,0,0,1
27.5156,76.18,0.511,30019.22,162.1,8.005,8.295,8.1,8.27,7.28,347413,119.72,283.088,39,489,0,1,0,0
24.3438,76.18,0.511,32257.885,127.3,8.17,8.21,8.1,8.215,8.28,414813,136.96,263.584,20,527,1,1,0,0
