order_id,product_id,product_category,quantity,price_dollars,customer_id,order_date,country,state,sales_hour,discount_percent,return_status,sales_value,website_traffic,order_number,lifetime_value
16,3858,Books,6,127,14452,2022-01-01 15:00:00,Canada,Ontario,15,15,Returned,647.6999999999999,201,1,647.6999999999999
17,2035,Books,9,18,16283,2022-01-01 16:00:00,Australia,New South Wales,16,2,Returned,158.76,583,1,158.76
18,1879,Electronics,6,134,10655,2022-01-01 17:00:00,USA,California,17,20,Not Returned,643.2,487,1,643.2
19,2149,Grocery,4,159,22283,2022-01-01 18:00:00,Australia,New South Wales,18,18,Returned,521.5200000000001,562,1,521.5200000000001
20,3139,Grocery,3,183,14730,2022-01-01 19:00:00,UK,England,19,15,Not Returned,466.65,508,1,2073.15
21,4060,Grocery,1,89,25971,2022-01-01 20:00:00,UK,England,20,13,Returned,77.42999999999999,322,1,229.71999999999997
22,4305,Grocery,7,129,29414,2022-01-01 21:00:00,UK,England,21,9,Not Returned,821.73,570,1,821.73
23,1566,Home & Kitchen,2,144,13491,2022-01-01 22:00:00,Canada,Ontario,22,8,Not Returned,264.96000000000004,800,1,1249.92
24,4031,Home & Kitchen,10,189,14251,2022-01-01 23:00:00,Australia,New South Wales,23,6,Not Returned,1776.6,129,1,1776.6
25,1208,Home & Kitchen,7,107,20916,2022-01-02 00:00:00,Canada,Ontario,0,3,Returned,726.53,351,1,726.53
26,4456,Grocery,2,108,22356,2022-01-02 01:00:00,Australia,New South Wales,1,16,Not Returned,181.44,894,1,181.44
27,1500,Clothing,1,145,13714,2022-01-02 02:00:00,USA,Texas,2,2,Returned,142.1,284,1,142.1
28,2686,Home & Kitchen,6,23,13942,2022-01-02 03:00:00,Australia,New South Wales,3,12,Not Returned,121.44,325,1,121.44
29,4799,Grocery,8,181,26762,2022-01-02 04:00:00,Australia,New South Wales,4,9,Returned,1317.68,844,1,1317.68
30,4867,Books,2,35,23993,2022-01-02 05:00:00,India,Maharashtra,5,4,Returned,67.2,911,1,67.2
31,4792,Home & Kitchen,1,149,23012,2022-01-02 06:00:00,Canada,Ontario,6,11,Not Returned,132.61,465,1,132.61
32,3319,Books,2,175,26170,2022-01-02 07:00:00,USA,California,7,19,Returned,283.5,562,1,329.1
33,2556,Clothing,3,54,25636,2022-01-02 08:00:00,Australia,New South Wales,8,8,Not Returned,149.04000000000002,992,1,149.04000000000002
34,4039,Electronics,3,74,16971,2022-01-02 09:00:00,Australia,New South Wales,9,14,Returned,190.92,746,1,190.92
35,2144,Grocery,1,107,18866,2022-01-02 10:00:00,UK,England,10,6,Returned,100.58,445,1,100.58
36,3910,Electronics,5,17,12131,2022-01-02 11:00:00,USA,Texas,11,5,Not Returned,80.75,557,1,80.75
37,3744,Books,7,162,10616,2022-01-02 12:00:00,Canada,Ontario,12,5,Returned,1077.3,583,1,1077.3
38,3743,Books,10,118,20949,2022-01-02 13:00:00,UK,England,13,19,Not Returned,955.8000000000001,816,1,955.8000000000001
39,1373,Grocery,8,31,14338,2022-01-02 14:00:00,India,Maharashtra,14,3,Returned,240.56,105,1,240.56
40,4257,Grocery,5,185,25908,2022-01-02 15:00:00,India,Maharashtra,15,14,Not Returned,795.5,436,1,1547.5
41,4572,Clothing,8,123,14567,2022-01-02 16:00:00,India,Maharashtra,16,2,Not Returned,964.3199999999999,171,1,964.3199999999999
42,4394,Grocery,1,107,26849,2022-01-02 17:00:00,USA,Texas,17,8,Not Returned,98.44,232,1,98.44
43,1474,Grocery,5,198,26654,2022-01-02 18:00:00,UK,England,18,5,Not Returned,940.5,537,1,1148.76
44,3066,Books,6,29,11998,2022-01-02 19:00:00,India,Maharashtra,19,11,Not Returned,154.86,626,1,385.26
45,2490,Clothing,9,16,20412,2022-01-02 20:00:00,Canada,Ontario,20,10,Not Returned,129.6,238,1,129.6
46,2977,Grocery,8,162,24221,2022-01-02 21:00:00,USA,Texas,21,8,Not Returned,1192.3200000000002,420,1,1192.3200000000002
47,4400,Books,4,109,13717,2022-01-02 22:00:00,Canada,Ontario,22,17,Returned,361.88,273,1,568.28
48,3780,Grocery,10,48,23419,2022-01-02 23:00:00,Canada,Ontario,23,10,Not Returned,432.0,473,1,432.0
49,2869,Books,9,75,28156,2022-01-03 00:00:00,UK,England,0,3,Returned,654.75,696,1,879.15
50,2423,Home & Kitchen,10,131,10214,2022-01-03 01:00:00,UK,England,1,13,Not Returned,1139.7,915,1,1139.7
51,4317,Electronics,6,130,15890,2022-01-03 02:00:00,Australia,New South Wales,2,2,Returned,764.4,551,1,2133.9
52,1616,Electronics,1,22,11053,2022-01-03 03:00:00,USA,Texas,3,2,Not Returned,21.56,255,1,21.56
53,1644,Grocery,7,70,23324,2022-01-03 04:00:00,Australia,New South Wales,4,19,Not Returned,396.90000000000003,172,1,972.5400000000002
54,4899,Home & Kitchen,9,17,13949,2022-01-03 05:00:00,Australia,New South Wales,5,2,Returned,149.94,714,1,149.94
55,3439,Electronics,7,79,23306,2022-01-03 06:00:00,UK,England,6,7,Not Returned,514.29,848,1,514.29
56,4928,Home & Kitchen,9,167,11258,2022-01-03 07:00:00,USA,California,7,7,Not Returned,1397.79,500,1,1397.79
57,2633,Clothing,10,142,10080,2022-01-03 08:00:00,India,Maharashtra,8,5,Not Returned,1349.0,685,1,1349.0
58,1160,Books,8,39,24175,2022-01-03 09:00:00,UK,England,9,14,Returned,268.32,287,1,268.32
59,3245,Home & Kitchen,9,197,22026,2022-01-03 10:00:00,UK,England,10,1,Returned,1755.27,686,1,1755.27
60,4642,Clothing,7,163,10428,2022-01-03 11:00:00,Canada,Ontario,11,8,Returned,1049.72,403,1,1049.72
61,1513,Grocery,6,191,10007,2022-01-03 12:00:00,USA,Texas,12,7,Returned,1065.78,583,1,1065.78
62,4976,Books,9,17,16632,2022-01-03 13:00:00,USA,California,13,17,Not Returned,126.99,751,1,126.99
63,2577,Clothing,1,172,19445,2022-01-03 14:00:00,Canada,Ontario,14,8,Returned,158.24,695,1,158.24
64,1067,Books,3,17,18011,2022-01-03 15:00:00,USA,Texas,15,10,Not Returned,45.9,821,1,45.9
65,1948,Books,2,10,17676,2022-01-03 16:00:00,Canada,Ontario,16,1,Returned,19.8,684,1,19.8
66,2934,Clothing,8,119,17479,2022-01-03 17:00:00,USA,Texas,17,14,Not Returned,818.72,586,1,818.72
67,1224,Grocery,5,32,22814,2022-01-03 18:00:00,Australia,New South Wales,18,15,Returned,136.0,206,1,464.3
68,3919,Books,3,78,26296,2022-01-03 19:00:00,Canada,Ontario,19,12,Returned,205.92,238,1,205.92
69,1166,Electronics,6,19,10536,2022-01-03 20:00:00,USA,Texas,20,12,Returned,100.32000000000001,570,1,100.32000000000001
70,3618,Electronics,6,188,26784,2022-01-03 21:00:00,USA,Texas,21,16,Not Returned,947.52,593,1,947.52
71,1328,Home & Kitchen,9,36,28586,2022-01-03 22:00:00,Canada,Ontario,22,18,Returned,265.68,179,1,265.68
72,4445,Books,7,154,23058,2022-01-03 23:00:00,UK,England,23,4,Not Returned,1034.8799999999999,403,1,1593.48
73,1844,Grocery,2,64,16699,2022-01-04 00:00:00,Canada,Ontario,0,17,Not Returned,106.24,554,1,106.24
74,2864,Home & Kitchen,8,147,20158,2022-01-04 01:00:00,Australia,New South Wales,1,12,Returned,1034.88,506,1,1756.76
75,4045,Grocery,7,131,14092,2022-01-04 02:00:00,UK,England,2,3,Not Returned,889.49,613,1,889.49
76,4370,Electronics,10,89,21540,2022-01-04 03:00:00,India,Maharashtra,3,17,Not Returned,738.6999999999999,594,1,787.3
77,4596,Clothing,6,101,11235,2022-01-04 04:00:00,India,Maharashtra,4,9,Returned,551.46,723,1,551.46
78,4075,Grocery,1,49,23122,2022-01-04 05:00:00,UK,England,5,16,Not Returned,41.16,403,1,41.16
79,1748,Electronics,4,103,22151,2022-01-04 06:00:00,India,Maharashtra,6,17,Returned,341.96,158,1,1025.51
80,2489,Electronics,10,144,15177,2022-01-04 07:00:00,USA,Texas,7,4,Returned,1382.3999999999999,758,1,1382.3999999999999
81,1701,Home & Kitchen,2,176,23341,2022-01-04 08:00:00,Canada,Ontario,8,10,Not Returned,316.8,633,1,316.8
82,4305,Books,6,134,11450,2022-01-04 09:00:00,India,Maharashtra,9,12,Returned,707.52,679,1,707.52
83,3440,Clothing,1,80,22785,2022-01-04 10:00:00,USA,California,10,6,Not Returned,75.19999999999999,210,1,75.19999999999999
84,2193,Books,6,11,27752,2022-01-04 11:00:00,Canada,Ontario,11,1,Returned,65.34,931,1,285.29999999999995
85,4984,Clothing,4,152,15526,2022-01-04 12:00:00,Australia,New South Wales,12,6,Returned,571.52,724,1,571.52
86,4451,Clothing,7,134,20298,2022-01-04 13:00:00,Australia,New South Wales,13,4,Returned,900.48,681,1,900.48
87,1710,Electronics,9,164,18009,2022-01-04 14:00:00,India,Maharashtra,14,17,Not Returned,1225.08,706,1,1225.08
88,3474,Books,9,131,13852,2022-01-04 15:00:00,Canada,Ontario,15,13,Not Returned,1025.73,817,1,1025.73
89,2748,Clothing,1,28,12984,2022-01-04 16:00:00,USA,California,16,11,Not Returned,24.92,816,1,24.92
90,4961,Grocery,5,162,19593,2022-01-04 17:00:00,UK,England,17,9,Not Returned,737.1,817,1,737.1
91,2003,Clothing,8,34,22028,2022-01-04 18:00:00,Canada,Ontario,18,16,Returned,228.48,480,1,454.46999999999997
92,3820,Home & Kitchen,4,19,14330,2022-01-04 19:00:00,Canada,Ontario,19,12,Not Returned,66.88,272,1,66.88
93,4368,Clothing,9,130,22902,2022-01-04 20:00:00,UK,England,20,3,Returned,1134.8999999999999,472,1,1134.8999999999999
94,1640,Books,8,56,19757,2022-01-04 21:00:00,Canada,Ontario,21,15,Returned,380.8,801,1,380.8
95,4668,Books,3,85,22386,2022-01-04 22:00:00,USA,Texas,22,13,Returned,221.85,758,1,536.61
96,1176,Clothing,3,59,14935,2022-01-04 23:00:00,Australia,New South Wales,23,0,Not Returned,177.0,108,1,177.0
97,1712,Books,9,20,17092,2022-01-05 00:00:00,USA,Texas,0,19,Returned,145.8,365,1,145.8
98,1970,Grocery,8,32,25338,2022-01-05 01:00:00,Australia,New South Wales,1,17,Returned,212.48,283,1,1345.04
99,2193,Books,7,61,23914,2022-01-05 02:00:00,Canada,Ontario,2,6,Returned,401.38,476,1,401.38
100,1643,Clothing,8,116,11203,2022-01-05 03:00:00,UK,England,3,10,Not Returned,835.2,470,1,835.2
101,3239,Books,1,157,29016,2022-01-05 04:00:00,USA,Texas,4,1,Returned,155.43,870,1,155.43
102,3605,Electronics,1,157,22532,2022-01-05 05:00:00,Canada,Ontario,5,10,Returned,141.3,989,1,141.3
103,3388,Home & Kitchen,3,196,22885,2022-01-05 06:00:00,Australia,New South Wales,6,16,Returned,493.91999999999996,852,1,493.91999999999996
104,1615,Books,8,35,10948,2022-01-05 07:00:00,UK,England,7,10,Returned,252.0,371,1,252.0
105,3919,Books,4,137,13959,2022-01-05 08:00:00,UK,England,8,5,Not Returned,520.6,687,1,752.0
106,4173,Books,1,17,12321,2022-01-05 09:00:00,USA,Texas,9,1,Returned,16.83,453,1,128.05
107,3014,Grocery,5,19,16633,2022-01-05 10:00:00,Australia,New South Wales,10,3,Not Returned,92.14999999999999,380,1,716.51
108,2569,Home & Kitchen,6,112,28599,2022-01-05 11:00:00,UK,England,11,8,Not Returned,618.24,315,1,618.24
109,2615,Home & Kitchen,5,192,22008,2022-01-05 12:00:00,Australia,New South Wales,12,5,Not Returned,912.0,868,1,912.0
110,2750,Grocery,7,190,17626,2022-01-05 13:00:00,USA,Texas,13,16,Returned,1117.2,520,1,1117.2
111,4855,Grocery,7,139,27455,2022-01-05 14:00:00,UK,England,14,4,Not Returned,934.0799999999999,463,1,934.0799999999999
112,3068,Grocery,1,103,28321,2022-01-05 15:00:00,USA,Texas,15,17,Not Returned,85.49,852,1,85.49
113,1927,Electronics,2,198,25102,2022-01-05 16:00:00,Australia,New South Wales,16,11,Not Returned,352.44,734,1,352.44
114,1901,Books,10,199,25430,2022-01-05 17:00:00,UK,England,17,11,Returned,1771.1000000000001,362,1,1771.1000000000001
115,3418,Clothing,2,67,12321,2022-01-05 18:00:00,India,Maharashtra,18,17,Not Returned,111.22,388,2,128.05
116,1862,Grocery,9,192,10571,2022-01-05 19:00:00,UK,England,19,7,Not Returned,1607.04,704,1,2311.04
117,4590,Home & Kitchen,6,14,12676,2022-01-05 20:00:00,USA,California,20,17,Returned,69.72,200,1,69.72
118,3379,Books,2,36,14083,2022-01-05 21:00:00,Australia,New South Wales,21,3,Returned,69.84,731,1,789.84
119,2033,Home & Kitchen,2,27,21540,2022-01-05 22:00:00,Canada,Ontario,22,10,Not Returned,48.6,389,2,787.3
120,4460,Grocery,7,99,23471,2022-01-05 23:00:00,Australia,New South Wales,23,17,Not Returned,575.1899999999999,913,1,864.99
121,1930,Grocery,1,111,12802,2022-01-06 00:00:00,USA,Texas,0,9,Not Returned,101.01,473,1,101.01
122,3949,Clothing,9,154,28293,2022-01-06 01:00:00,India,Maharashtra,1,20,Returned,1108.8,729,1,1108.8
123,4261,Grocery,7,16,29819,2022-01-06 02:00:00,Canada,Ontario,2,8,Not Returned,103.04,142,1,103.04
124,3324,Electronics,2,98,14180,2022-01-06 03:00:00,UK,England,3,10,Not Returned,176.4,575,1,176.4
125,3620,Clothing,9,107,17333,2022-01-06 04:00:00,USA,California,4,20,Returned,770.4000000000001,368,1,1188.0
126,1839,Clothing,7,160,22611,2022-01-06 05:00:00,Australia,New South Wales,5,7,Not Returned,1041.6,520,1,1041.6
127,1303,Home & Kitchen,1,82,20603,2022-01-06 06:00:00,UK,England,6,12,Not Returned,72.16,884,1,72.16
128,4729,Clothing,6,109,17731,2022-01-06 07:00:00,USA,Texas,7,8,Returned,601.6800000000001,910,1,601.6800000000001
129,2298,Electronics,5,143,26702,2022-01-06 08:00:00,UK,England,8,2,Not Returned,700.6999999999999,562,1,700.6999999999999
130,3960,Electronics,8,193,26894,2022-01-06 09:00:00,UK,England,9,11,Returned,1374.16,973,1,1374.16
131,4408,Home & Kitchen,1,66,17730,2022-01-06 10:00:00,USA,Texas,10,11,Not Returned,58.74,333,1,58.74
132,1216,Books,9,194,27061,2022-01-06 11:00:00,India,Maharashtra,11,17,Returned,1449.1799999999998,295,1,1449.1799999999998
133,2829,Home & Kitchen,6,133,15646,2022-01-06 12:00:00,Canada,Ontario,12,11,Returned,710.22,589,1,710.22
134,4429,Clothing,7,185,14157,2022-01-06 13:00:00,UK,England,13,10,Not Returned,1165.5,490,1,1165.5
135,4743,Books,6,161,23863,2022-01-06 14:00:00,Canada,Ontario,14,11,Returned,859.74,344,1,954.8
136,2664,Books,1,121,17915,2022-01-06 15:00:00,Australia,New South Wales,15,1,Returned,119.78999999999999,495,1,119.78999999999999
137,4815,Clothing,3,35,29394,2022-01-06 16:00:00,India,Maharashtra,16,3,Not Returned,101.85,927,1,623.73
138,3497,Electronics,7,62,15628,2022-01-06 17:00:00,UK,England,17,4,Not Returned,416.64,974,1,416.64
139,1664,Books,2,170,10709,2022-01-06 18:00:00,USA,Texas,18,4,Not Returned,326.4,562,1,326.4
140,2021,Grocery,3,67,12537,2022-01-06 19:00:00,USA,California,19,11,Not Returned,178.89000000000001,258,1,866.9399999999999
141,2547,Clothing,6,94,15007,2022-01-06 20:00:00,USA,Texas,20,16,Not Returned,473.76,921,1,473.76
142,3349,Grocery,4,136,25707,2022-01-06 21:00:00,USA,California,21,17,Not Returned,451.52,120,1,1004.42
143,1331,Clothing,2,141,26294,2022-01-06 22:00:00,Australia,New South Wales,22,7,Returned,262.26,200,1,262.26
144,3993,Books,1,192,28568,2022-01-06 23:00:00,India,Maharashtra,23,17,Not Returned,159.35999999999999,273,1,159.35999999999999
145,3003,Books,9,172,27509,2022-01-07 00:00:00,India,Maharashtra,0,3,Not Returned,1501.56,727,1,1501.56
146,3648,Home & Kitchen,7,116,25169,2022-01-07 01:00:00,USA,California,1,15,Returned,690.1999999999999,232,1,1374.6799999999998
147,4266,Books,9,141,12893,2022-01-07 02:00:00,USA,Texas,2,18,Not Returned,1040.5800000000002,613,1,1040.5800000000002
148,1325,Electronics,5,117,16685,2022-01-07 03:00:00,UK,England,3,4,Returned,561.6,951,1,561.6
149,1484,Books,3,115,15900,2022-01-07 04:00:00,USA,Texas,4,7,Returned,320.84999999999997,670,1,320.84999999999997
150,1003,Books,5,37,29396,2022-01-07 05:00:00,Canada,Ontario,5,13,Returned,160.95,668,1,599.55
151,2836,Clothing,7,86,21635,2022-01-07 06:00:00,India,Maharashtra,6,13,Returned,523.74,253,1,523.74
152,2739,Home & Kitchen,6,86,29396,2022-01-07 07:00:00,Canada,Ontario,7,15,Not Returned,438.59999999999997,292,2,599.55
153,3715,Books,3,105,20856,2022-01-07 08:00:00,USA,Texas,8,19,Not Returned,255.15,610,1,255.15
154,2237,Clothing,9,49,15811,2022-01-07 09:00:00,India,Maharashtra,9,18,Not Returned,361.62,101,1,361.62
155,2941,Home & Kitchen,6,137,19307,2022-01-07 10:00:00,Canada,Ontario,10,3,Returned,797.34,297,1,1430.04
156,4946,Books,9,126,14026,2022-01-07 11:00:00,India,Maharashtra,11,19,Returned,918.5400000000001,200,1,918.5400000000001
157,3081,Grocery,2,128,18463,2022-01-07 12:00:00,India,Maharashtra,12,12,Returned,225.28,899,1,225.28
158,3108,Grocery,3,14,13108,2022-01-07 13:00:00,Australia,New South Wales,13,16,Returned,35.28,764,1,35.28
159,1208,Electronics,10,130,23633,2022-01-07 14:00:00,India,Maharashtra,14,13,Returned,1131.0,305,1,1180.68
160,2550,Home & Kitchen,7,179,19206,2022-01-07 15:00:00,USA,California,15,13,Returned,1090.11,197,1,1090.11
161,2179,Grocery,7,193,16004,2022-01-07 16:00:00,UK,England,16,8,Not Returned,1242.92,112,1,1242.92
162,1549,Electronics,1,138,16961,2022-01-07 17:00:00,Canada,Ontario,17,4,Returned,132.48,799,1,132.48
163,3814,Books,3,63,21850,2022-01-07 18:00:00,Canada,Ontario,18,11,Returned,168.21,550,1,168.21
164,3090,Books,8,98,14237,2022-01-07 19:00:00,Canada,Ontario,19,8,Returned,721.2800000000001,520,1,991.5500000000001
165,3368,Electronics,1,66,29408,2022-01-07 20:00:00,India,Maharashtra,20,11,Returned,58.74,152,1,197.06
166,4054,Books,6,70,17572,2022-01-07 21:00:00,Canada,Ontario,21,19,Returned,340.20000000000005,187,1,727.48
167,4497,Electronics,8,164,11767,2022-01-07 22:00:00,UK,England,22,9,Returned,1193.92,314,1,1193.92
168,2600,Grocery,8,168,11689,2022-01-07 23:00:00,Australia,New South Wales,23,5,Returned,1276.8,799,1,1276.8
169,3928,Clothing,5,99,12401,2022-01-08 00:00:00,UK,England,0,2,Not Returned,485.09999999999997,845,1,485.09999999999997
170,1617,Clothing,7,187,14836,2022-01-08 01:00:00,India,Maharashtra,1,15,Not Returned,1112.6499999999999,661,1,1112.6499999999999
171,4500,Electronics,1,168,14239,2022-01-08 02:00:00,Canada,Ontario,2,19,Not Returned,136.08,390,1,136.08
172,3245,Grocery,3,32,24225,2022-01-08 03:00:00,USA,Texas,3,6,Returned,90.24,978,1,1308.0
173,2599,Clothing,9,48,14937,2022-01-08 04:00:00,India,Maharashtra,4,4,Not Returned,414.71999999999997,775,1,414.71999999999997
174,1304,Books,6,102,17705,2022-01-08 05:00:00,Canada,Ontario,5,12,Returned,538.5600000000001,254,1,538.5600000000001
175,3826,Clothing,9,159,20655,2022-01-08 06:00:00,India,Maharashtra,6,15,Not Returned,1216.35,708,1,1216.35
176,4326,Home & Kitchen,9,187,11017,2022-01-08 07:00:00,India,Maharashtra,7,8,Returned,1548.3600000000001,421,1,1548.3600000000001
177,3457,Electronics,9,165,22576,2022-01-08 08:00:00,Canada,Ontario,8,12,Not Returned,1306.8,391,1,1306.8
178,4803,Grocery,3,14,24612,2022-01-08 09:00:00,USA,California,9,8,Returned,38.64,935,1,38.64
179,4358,Home & Kitchen,6,19,13561,2022-01-08 10:00:00,Canada,Ontario,10,7,Not Returned,106.02,181,1,106.02
180,4633,Clothing,9,29,22631,2022-01-08 11:00:00,India,Maharashtra,11,1,Returned,258.39,432,1,258.39
181,1962,Books,2,195,16034,2022-01-08 12:00:00,Australia,New South Wales,12,6,Returned,366.59999999999997,550,1,366.59999999999997
182,3446,Clothing,9,110,20198,2022-01-08 13:00:00,India,Maharashtra,13,3,Returned,960.3,839,1,4715.38
183,1835,Electronics,6,41,24991,2022-01-08 14:00:00,USA,Texas,14,1,Not Returned,243.54,811,1,243.54
184,4111,Electronics,4,92,16592,2022-01-08 15:00:00,India,Maharashtra,15,18,Returned,301.76000000000005,147,1,301.76000000000005
185,3752,Books,10,45,21226,2022-01-08 16:00:00,UK,England,16,8,Not Returned,414.0,450,1,414.0
186,1414,Home & Kitchen,6,71,17163,2022-01-08 17:00:00,UK,England,17,10,Not Returned,383.40000000000003,331,1,890.85
187,2855,Clothing,2,12,22014,2022-01-08 18:00:00,USA,California,18,3,Not Returned,23.28,568,1,1023.7299999999999
188,4213,Clothing,5,34,21060,2022-01-08 19:00:00,India,Maharashtra,19,2,Not Returned,166.6,756,1,166.6
189,3295,Electronics,9,162,17202,2022-01-08 20:00:00,USA,Texas,20,11,Not Returned,1297.6200000000001,142,1,1324.9
190,4931,Home & Kitchen,4,81,12864,2022-01-08 21:00:00,USA,California,21,9,Returned,294.84000000000003,572,1,294.84000000000003
191,3294,Electronics,4,132,21184,2022-01-08 22:00:00,India,Maharashtra,22,2,Returned,517.4399999999999,305,1,651.3
192,1865,Electronics,6,33,15023,2022-01-08 23:00:00,Australia,New South Wales,23,6,Returned,186.11999999999998,462,1,1251.96
193,3467,Grocery,5,102,26263,2022-01-09 00:00:00,India,Maharashtra,0,16,Returned,428.4,303,1,500.78
194,3582,Clothing,7,157,12919,2022-01-09 01:00:00,India,Maharashtra,1,16,Not Returned,923.16,889,1,1069.12
195,4324,Clothing,1,128,11385,2022-01-09 02:00:00,Australia,New South Wales,2,3,Returned,124.16,135,1,124.16
196,2989,Clothing,9,57,29945,2022-01-09 03:00:00,UK,England,3,7,Returned,477.09,945,1,477.09
197,3444,Grocery,2,103,29128,2022-01-09 04:00:00,India,Maharashtra,4,11,Not Returned,183.34,552,1,183.34
198,1517,Electronics,4,190,13977,2022-01-09 05:00:00,UK,England,5,15,Returned,646.0,519,1,1271.3200000000002
199,2173,Home & Kitchen,9,40,11869,2022-01-09 06:00:00,USA,California,6,18,Not Returned,295.20000000000005,610,1,295.20000000000005
200,2806,Grocery,4,146,21003,2022-01-09 07:00:00,USA,Texas,7,18,Not Returned,478.88000000000005,924,1,478.88000000000005
201,2180,Books,1,150,13528,2022-01-09 08:00:00,USA,California,8,10,Not Returned,135.0,110,1,135.0
202,3663,Home & Kitchen,4,168,29728,2022-01-09 09:00:00,UK,England,9,19,Returned,544.32,198,1,544.32
203,4832,Home & Kitchen,5,100,16688,2022-01-09 10:00:00,USA,Texas,10,7,Not Returned,464.99999999999994,996,1,464.99999999999994
204,2681,Home & Kitchen,10,75,29537,2022-01-09 11:00:00,Australia,New South Wales,11,12,Not Returned,660.0,805,1,660.0
205,3858,Books,4,38,26345,2022-01-09 12:00:00,UK,England,12,4,Returned,145.92,587,1,145.92
206,3882,Electronics,2,58,20100,2022-01-09 13:00:00,UK,England,13,6,Not Returned,109.03999999999999,863,1,109.03999999999999
207,4374,Clothing,10,104,10532,2022-01-09 14:00:00,UK,England,14,11,Returned,925.6,800,1,925.6
208,3264,Grocery,6,137,25827,2022-01-09 15:00:00,India,Maharashtra,15,6,Returned,772.68,663,1,772.68
209,2955,Home & Kitchen,2,40,29744,2022-01-09 16:00:00,Canada,Ontario,16,19,Not Returned,64.80000000000001,316,1,328.24
210,3678,Home & Kitchen,6,129,17718,2022-01-09 17:00:00,India,Maharashtra,17,4,Returned,743.04,971,1,743.04
211,4593,Home & Kitchen,9,72,13147,2022-01-09 18:00:00,USA,California,18,11,Returned,576.72,673,1,576.72
212,1143,Books,9,107,12839,2022-01-09 19:00:00,India,Maharashtra,19,17,Not Returned,799.29,286,1,799.29
213,3215,Books,3,100,14169,2022-01-09 20:00:00,UK,England,20,5,Not Returned,285.0,205,1,285.0
214,4315,Electronics,9,128,11484,2022-01-09 21:00:00,USA,Texas,21,12,Not Returned,1013.76,881,1,1956.6
215,1633,Grocery,3,54,14584,2022-01-09 22:00:00,India,Maharashtra,22,14,Not Returned,139.32,372,1,139.32
216,1914,Home & Kitchen,8,130,11600,2022-01-09 23:00:00,Australia,New South Wales,23,7,Not Returned,967.1999999999999,895,1,967.1999999999999
217,2528,Electronics,8,68,20033,2022-01-10 00:00:00,USA,Texas,0,7,Returned,505.91999999999996,135,1,505.91999999999996
218,1459,Clothing,7,63,25145,2022-01-10 01:00:00,Australia,New South Wales,1,10,Returned,396.90000000000003,361,1,551.28
219,4721,Books,1,28,15752,2022-01-10 02:00:00,USA,California,2,7,Returned,26.04,154,1,26.04
220,1733,Books,5,36,17135,2022-01-10 03:00:00,USA,California,3,8,Not Returned,165.6,257,1,165.6
221,2449,Grocery,10,60,19956,2022-01-10 04:00:00,Australia,New South Wales,4,0,Returned,600.0,555,1,892.95
222,3660,Clothing,8,154,15102,2022-01-10 05:00:00,Canada,Ontario,5,14,Not Returned,1059.52,616,1,1059.52
223,1094,Books,6,104,15118,2022-01-10 06:00:00,Australia,New South Wales,6,16,Returned,524.16,451,1,524.16
224,1463,Grocery,7,117,12977,2022-01-10 07:00:00,USA,Texas,7,18,Returned,671.58,133,1,1911.2399999999998
225,1071,Electronics,4,65,27485,2022-01-10 08:00:00,UK,England,8,0,Not Returned,260.0,186,1,260.0
226,2742,Books,9,145,27749,2022-01-10 09:00:00,Canada,Ontario,9,9,Returned,1187.55,293,1,1187.55
